Run	Year	A. Progress Ratio	A. Annual Production	A. Cumulative Subsidies	B. Progress Ratio	B. Annual Production	B. Cumulative Subsidies
200	2015	0.6	0	0	0.6	0	157617041.451
200	2020	0.6	15387657.0157	615473256.999	0.6	13521584.9658	387271332.814
200	2025	0.6	7073170233.12	4630672501.34	0.6	588869640.075	629488539.874
200	2030	0.6	17618798857.2	13867590990.56	0.6	643885900.574	1101183747.543
201	2015	0.6	0	0	0.6	0	157726482.006
201	2020	0.6	15387657.0157	615473256.999	0.6	13469248.2087	386374100.3728
201	2025	0.6	7304723178.68	4674516395.17	0.6	353787858.411	587724224.518
201	2030	0.6	17895455145.5	14105453652.76	0.6	392911130.067	873703007.151
202	2015	0.6	0	0	0.6	0	157888850.034
202	2020	0.6	15387657.0157	615473256.999	0.6	13441247.8833	386643705.0324
202	2025	0.6	7501532529.23	4710736866.47	0.6	181357060.732	558199726.212
202	2030	0.6	18102756304.7	14282182562.26	0.6	206086957.767	706524149.565
203	2015	0.6	0	0	0.6	0	158008824.33
203	2020	0.6	15387657.0157	615473256.999	0.6	13390053.2764	385788024.2425
203	2025	0.6	7599155580.88	4732533939.65	0.6	70357962.3462	538220398.717
203	2030	0.6	18206442798.7	14402927719.96	0.6	83147714.5413	596801667.748
204	2015	0.6	0	0	0.6	0	158178420.114
204	2020	0.6	15387657.0157	615473256.999	0.6	13365953.3785	386003244.1909
204	2025	0.6	7664693990.78	4742638825.69	0.6	17298935.3743	527922137.006
204	2030	0.6	18275520684	14457744114.06	0.6	23359710.0206	543378255.859
205	2015	0.6	0	0	0.6	0	158351010.489
205	2020	0.6	15387657.0157	615473256.999	0.6	13336358.6382	386326413.1347
205	2025	0.6	7698584921.04	4748796181.91	0.6	16876645.4762	526238204.234
205	2030	0.6	18310298234.3	14479865078.76	0.6	22920164.2356	541368153.752
206	2015	0.6	0	0	0.6	0	158486735.484
206	2020	0.6	15386608.0936	615523346.2191	0.6	13262647.4406	385526886.1286
206	2025	0.6	7698993681.95	4752875918.049	0.6	16384330.3957	523135310.823
206	2030	0.6	18310465463.7	14493558476.549	0.6	22420327.1759	537890478.379
207	2015	0.6	0	0	0.6	0	158667171.375
207	2020	0.6	15386608.0936	615523346.2191	0.6	13237646.2072	385811069.8124
207	2025	0.6	7699219333.02	4754162783.759	0.6	15943878.5231	520264592.967
207	2030	0.6	18310533630	14498072064.849	0.6	21953645.7173	534676514.768
208	2015	0.6	0	0	0.6	0	158814857.154
208	2020	0.6	15386608.0936	615523346.2191	0.6	13189951.2963	385079235.1269
208	2025	0.6	7699219333.02	4754162783.759	0.6	15471953.9444	517448435.274
208	2030	0.6	18310533630	14498072064.849	0.6	21446118.7666	531489697.003
209	2015	0.6	0	0	0.6	0	159003621.123
209	2020	0.6	15386608.0936	615523346.2191	0.6	13163526.1212	385416830.0342
209	2025	0.6	7699478296.34	4764694879.759	0.6	14996114.5437	514638880.723
209	2030	0.6	18310638975.2	14511866132.449	0.6	20925916.6856	528303102.037
210	2015	0.6	0	0	0.6	0	159195805.535
210	2020	0.6	15386608.0936	615523346.2191	0.6	13135629.4996	385782645.0779
210	2025	0.6	7699478296.34	4764694879.759	0.6	14502723.8866	511863139.234
210	2030	0.6	18310638975.2	14511866132.449	0.6	20378195.8326	525133236.003
211	2015	0.6	0	0	0.6	0	159361536.367
211	2020	0.6	15386608.0936	615523346.2191	0.6	13088745.186	385137554.434
211	2025	0.6	7699551474.57	4765234414.479	0.6	13980630.3252	509145588.186
211	2030	0.6	18310638691.8	14512414968.749	0.6	19790760.7928	521995716.81
212	2015	0.6	0	0	0.6	0	159562770.162
212	2020	0.6	15386608.0936	615523346.2191	0.6	13059109.7383	385563974.6556
212	2025	0.6	7699602120.74	4765539820.359	0.6	13453872.3805	506443042.985
212	2030	0.6	18310644234.2	14512734014.249	0.6	19188284.6895	518865768.361
213	2015	0.6	0	0	0.6	0	159742184.441
213	2020	0.6	15386608.0936	615523346.2191	0.6	13015711.5576	384928221.5191
213	2025	0.6	7699641709.3	4765846491.319	0.6	12907419.5737	502632177.036
213	2030	0.6	18310650642.1	14513053302.249	0.6	18559902.7187	514610587.911
214	2015	0.6	0	0	0.6	0	159953032.743
214	2020	0.6	15386608.0936	615523346.2191	0.6	12986362.169	385375029.7926
214	2025	0.6	7730629539.46	4766365332.119	0.6	12354184.3159	498864213.264
214	2030	0.6	18310632278.4	14514351544.849	0.6	17912953.5175	510388813.517
215	2015	0.6	0	0	0.6	0	160146929.84
215	2020	0.6	15386608.0936	615523346.2191	0.6	12944867.2658	384782608.569
215	2025	0.6	7730673716.96	4766677088.609	0.6	11780419.2277	494035270.912
215	2030	0.6	18344584891.3	14517089158.649	0.6	17237395.4525	505087852.551
216	2015	0.6	0	0	0.6	0	160367997.072
216	2020	0.6	15386608.0936	615523346.2191	0.6	12754147.1887	384544946.8253
216	2025	0.6	7730673716.96	4766677088.609	0.6	11175893.7843	489140817.375
216	2030	0.6	18344584891.3	14517089158.649	0.6	16518557.9651	499693663.317
217	2015	0.6	0	0	0.6	0	160577241.236
217	2020	0.6	15386608.0936	615523346.2191	0.6	12726309.1207	384108086.4239
217	2025	0.6	7730673716.96	4766677088.609	0.6	10575688.229	483441891.128
217	2030	0.6	18344584891.3	14517089158.649	0.6	15793801.2036	493494736.559
218	2015	0.6	0	0	0.6	0	160809174.084
218	2020	0.6	15385516.9586	615575451.2279	0.6	12705852.6436	384779465.9129
218	2025	0.6	7730668309.44	4768295745.979	0.6	9943945.47042	477794338.215
218	2030	0.6	18344582566.9	14518705133.729	0.6	15024556.1827	487318828.467
219	2015	0.6	0	0	0.6	0	161034699.112
219	2020	0.6	15385516.9586	615575451.2279	0.6	12685961.3361	384375892.6036
219	2025	0.6	7730668309.44	4768295745.979	0.6	9327568.75539	466849770.599
219	2030	0.6	18344582566.9	14518705133.729	0.6	14270609.0919	475858310.691
220	2015	0.6	0	0	0.6	0	161278189.729
220	2020	0.6	15385516.9586	615575451.2279	0.6	12664485.4636	226236331.5389
220	2025	0.6	7730668309.44	4768295745.979	0.6	4002411.76973	294381588.59
220	2030	0.6	18344582566.9	14518705133.729	0.6	6302024.96101	298321513.024
221	2015	0.6175	0	0	0.6175	0	157617041.451
221	2020	0.6175	15371211.4872	613580732.6797	0.6175	13521584.9658	531594555.018
221	2025	0.6175	6180736744.74	4358960983.365	0.6175	953406673.753	847222165.088
221	2030	0.6175	16595474322.1	12913856521.025	0.6175	1158224409.47	1628115330.238
222	2015	0.6175	0	0	0.6175	0	157726482.006
222	2020	0.6175	15371211.4872	613580732.6797	0.6175	13469248.2087	386374100.3728
222	2025	0.6175	6477444234.33	4416952600.225	0.6175	716448491.092	787266830.595
222	2030	0.6175	17009798793.1	13198707056.525	0.6175	783389315.018	1361641616.416
223	2015	0.6175	0	0	0.6175	0	157888850.034
223	2020	0.6175	15371211.4872	613580732.6797	0.6175	13441247.8833	386643705.0324
223	2025	0.6175	6705775907.57	4457688846.635	0.6175	463591097.675	611684533.731
223	2030	0.6175	17286355745.4	13433823794.925	0.6175	515163272.186	986906090.256
224	2015	0.6175	0	0	0.6175	0	158008824.33
224	2020	0.6175	15371211.4872	613580732.6797	0.6175	13390053.2764	385788024.2425
224	2025	0.6175	6967202580.99	4501504639.355	0.6175	234312870.45	573464663.844
224	2030	0.6175	17562766871.9	13678421480.125	0.6175	266094409.52	765268476.536
225	2015	0.6175	0	0	0.6175	0	158178420.114
225	2020	0.6175	15371211.4872	613580732.6797	0.6175	13361505.2466	386091659.6805
225	2025	0.6175	7131430525.6	4525912072.015	0.6175	122538297.103	554763583.527
225	2030	0.6175	17735791196.5	13823920100.625	0.6175	142507789.698	656176468.621
226	2015	0.6175	0	0	0.6175	0	158351010.489
226	2020	0.6175	15371211.4872	613580732.6797	0.6175	13336358.6382	386326413.1347
226	2025	0.6175	7197246896.73	4539912995.665	0.6175	16940650.9214	538060603.143
226	2030	0.6175	17805198894.1	13904859970.425	0.6175	22950624.1224	553224090.17
227	2015	0.6175	0	0	0.6175	0	158486735.484
227	2020	0.6175	15371211.4872	613580732.6797	0.6175	13262647.4406	385526886.1286
227	2025	0.6175	7261953773.03	4546674429.915	0.6175	16450561.5357	534877674.11
227	2030	0.6175	17873998803.7	13943512750.925	0.6175	22452459.2449	549667875.693
228	2015	0.6175	0	0	0.6175	0	158667171.375
228	2020	0.6175	15371211.4872	613580732.6797	0.6175	13237646.2072	385811069.8124
228	2025	0.6175	7262258512.61	4548923360.385	0.6175	16011214.7707	531938306.577
228	2030	0.6175	17874155870.7	13955320698.925	0.6175	21986914.1859	546386163.637
229	2015	0.6175	0	0	0.6175	0	158814857.154
229	2020	0.6175	15371211.4872	613580732.6797	0.6175	13189951.2963	385079235.1269
229	2025	0.6175	7262356742.5	4549562888.125	0.6175	15540171.3342	529050140.197
229	2030	0.6175	17874213256.4	13959147422.725	0.6175	21480457.3249	543128140.751
230	2015	0.6175	0	0	0.6175	0	159003621.123
230	2020	0.6175	15371211.4872	613580732.6797	0.6175	13163526.1212	385416830.0342
230	2025	0.6175	7262523098.76	4550434445.815	0.6175	15064837.3861	526168234.493
230	2030	0.6175	17874277014.2	13963220738.025	0.6175	20961159.9916	539869805.367
231	2015	0.6175	0	0	0.6175	0	159195805.535
231	2020	0.6175	15369915.9052	613642625.3275	0.6175	13132248.9767	385850431.1702
231	2025	0.6175	7262627734.09	4557211581.641	0.6175	14561373.5573	524518402.047
231	2030	0.6175	17874295364	13970031158.271	0.6175	20397755.6893	537815952.917
232	2015	0.6175	0	0	0.6175	0	159361536.367
232	2020	0.6175	15369915.9052	613642625.3275	0.6175	13088745.186	385137554.434
232	2025	0.6175	7262731755.04	4557842501.771	0.6175	14049185.4805	520523425.231
232	2030	0.6175	17874271685.1	13970966295.571	0.6175	19827274.2996	533411511.545
233	2015	0.6175	0	0	0.6175	0	159562770.162
233	2020	0.6175	15369915.9052	613642625.3275	0.6175	13059109.7383	385563974.6556
233	2025	0.6175	7262780648.66	4558157971.351	0.6175	13521573.5551	517743074.116
233	2030	0.6175	17874363943	13974180076.571	0.6175	19225031.5849	530203635.191
234	2015	0.6175	0	0	0.6175	0	159742184.441
234	2020	0.6175	15367830.1414	613742266.595	0.6175	13015711.5576	384928221.5191
234	2025	0.6175	7262911047.26	4560533713.272	0.6175	12974078.1464	513850658.498
234	2030	0.6175	17874385743	13976595871.112	0.6175	18596704.9636	525866636.924
235	2015	0.6175	0	0	0.6175	0	159953032.743
235	2020	0.6175	15367830.1414	613742266.595	0.6175	12983796.5627	385426663.4112
235	2025	0.6175	7262911047.26	4560533713.272	0.6175	12412921.2425	511159967.438
235	2030	0.6175	17874385743	13976595871.112	0.6175	17938360.3312	522714783.807
236	2015	0.6175	0	0	0.6175	0	160146929.84
236	2020	0.6175	15367830.1414	613742266.595	0.6175	12942537.9678	384829632.8205
236	2025	0.6175	7262911047.26	4560533713.272	0.6175	11837973.4471	506234369.513
236	2030	0.6175	17874385743	13976595871.112	0.6175	17263506.554	517317117.845
237	2015	0.6175	0	0	0.6175	0	160367997.072
237	2020	0.6175	15367830.1414	613742266.595	0.6175	12754147.1887	384651075.2563
237	2025	0.6175	7262973878.94	4560836786.452	0.6175	11227030.293	502433063.283
237	2030	0.6175	17874391908.6	13976915001.612	0.6175	16536298.4801	513010497.61
238	2015	0.6175	0	0	0.6175	0	160577241.236
238	2020	0.6175	15367830.1414	613742266.595	0.6175	12726309.1207	384247129.5889
238	2025	0.6175	7263103315.98	4561395016.722	0.6175	10621457.4577	497766556.056
238	2030	0.6175	17874372697.5	13977786445.112	0.6175	15805591.9735	507839768.857
239	2015	0.6175	0	0	0.6175	0	160809174.084
239	2020	0.6175	15367830.1414	613742266.595	0.6175	12705852.6436	384936301.5879
239	2025	0.6175	7263174603.64	4566358619.922	0.6175	9984923.76004	493113286.403
239	2030	0.6175	17874479805.2	13985661548.012	0.6175	15032517.3258	502654998.397
240	2015	0.6175	0	0	0.6175	0	161034699.112
240	2020	0.6175	15367830.1414	613742266.595	0.6175	12685961.3361	384659951.1246
240	2025	0.6175	7263275008.74	4566968320.672	0.6175	9359269.62315	487607681.209
240	2030	0.6175	17874494021.1	13986301077.412	0.6175	14260699.6953	496622978.679
241	2015	0.6175	0	0	0.6175	0	161278189.729
